0.001,0.00240087,-0.780629,-0.00106614,-2.35455,-0.000938828,1.5753,0.797101,-1.10474e-07,-0.78541,6.07315e-13,-2.35623,-2.73894e-06,1.57082,0.785398
0.002,0.00240089,-0.780629,-0.00106612,-2.35455,-0.000938804,1.5753,0.797101,0.000239988,-0.785277,-0.000106614,-2.35606,-9.63479e-05,1.57075,0.786568
0.003,0.00240091,-0.780629,-0.0010661,-2.35455,-0.00093878,1.5753,0.797101,0.000456078,-0.78509,-0.000202564,-2.35591,-0.000180593,1.57095,0.787622
0.004,0.00240092,-0.780629,-0.00106608,-2.35455,-0.000938755,1.5753,0.797101,0.000650561,-0.784848,-0.000288918,-2.35577,-0.000256412,1.57139,0.78857
0.005,0.00240094,-0.780629,-0.00106606,-2.35455,-0.000938731,1.5753,0.797101,0.000825597,-0.784559,-0.000366634,-2.35565,-0.000324646,1.57178,0.789423
0.006,0.00240096,-0.780629,-0.00106605,-2.35455,-0.000938707,1.5753,0.797101,0.000983132,-0.784221,-0.000436577,-2.35554,-0.000386055,1.57213,0.790191
0.007,0.00240098,-0.780629,-0.00106603,-2.35455,-0.000938682,1.5753,0.797101,0.00112491,-0.783862,-0.000499524,-2.35544,-0.00044132,1.57245,0.790882
0.008,0.00240099,-0.780629,-0.00106601,-2.35455,-0.000938658,1.5753,0.797101,0.00125252,-0.783538,-0.000556174,-2.35535,-0.000491056,1.57273,0.791503
0.009,0.00240101,-0.780629,-0.00106599,-2.35455,-0.000938634,1.5753,0.797101,0.00136737,-0.783247,-0.000607158,-2.35527,-0.000535816,1.57299,0.792063
0.01,0.00240103,-0.780629,-0.00106597,-2.35455,-0.000938609,1.5753,0.797101,0.00147073,-0.782985,-0.000653041,-2.3552,-0.000576098,1.57322,0.792567
0.011,0.00240104,-0.780629,-0.00106596,-2.35455,-0.000938585,1.5753,0.7971,0.00156376,-0.78275,-0.000694335,-2.35514,-0.000612349,1.57343,0.79302
0.012,0.00240106,-0.780629,-0.00106594,-2.35455,-0.000938561,1.5753,0.7971,0.00164749,-0.782538,-0.000731497,-2.35508,-0.000644973,1.57361,0.793428
0.013,0.00240108,-0.780629,-0.00106592,-2.35455,-0.000938536,1.5753,0.7971,0.00172285,-0.782347,-0.000764941,-2.35503,-0.000674332,1.57378,0.793796
0.014,0.0024011,-0.780629,-0.0010659,-2.35455,-0.000938512,1.5753,0.7971,0.00179067,-0.782175,-0.000795039,-2.35498,-0.000700752,1.57393,0.794126
0.015,0.00240111,-0.780629,-0.00106589,-2.35455,-0.000938488,1.5753,0.7971,0.00185171,-0.78202,-0.000822126,-2.35494,-0.000724528,1.57407,0.794423
0.016,0.00240113,-0.780629,-0.00106587,-2.35455,-0.000938463,1.5753,0.7971,0.00190665,-0.781881,-0.000846502,-2.3549,-0.000745924,1.57419,0.794691
0.017,0.00240115,-0.780629,-0.00106585,-2.35455,-0.000938439,1.5753,0.7971,0.0019561,-0.781756,-0.000868438,-2.35486,-0.000765178,1.5743,0.794932
0.018,0.00240116,-0.780629,-0.00106583,-2.35455,-0.000938415,1.5753,0.7971,0.0020006,-0.781643,-0.000888179,-2.35483,-0.000782504,1.5744,0.795149
0.019,0.00240118,-0.780629,-0.00106581,-2.35455,-0.00093839,1.5753,0.7971,0.00204066,-0.781542,-0.000905945,-2.3548,-0.000798095,1.57449,0.795344
0.02,0.0024012,-0.780629,-0.0010658,-2.35455,-0.000938366,1.5753,0.7971,0.00207671,-0.78145,-0.000921932,-2.35478,-0.000812125,1.57457,0.79552
0.02,0.0024012,-0.780629,-0.0010658,-2.35455,-0.000938366,1.5753,0.7971,0.00210916,-0.781368,-0.000936318,-2.35476,-0.000824749,1.57464,0.795678
0.022,0.00240123,-0.780629,-0.00106576,-2.35455,-0.000938317,1.5753,0.7971,0.00213837,-0.781294,-0.000949266,-2.35474,-0.00083611,1.57471,0.79582
0.023,0.00240125,-0.780629,-0.00106574,-2.35455,-0.000938293,1.5753,0.7971,0.00216465,-0.781228,-0.000960916,-2.35472,-0.000846331,1.57477,0.795948
0.024,0.00240127,-0.780629,-0.00106573,-2.35455,-0.000938268,1.5753,0.7971,0.00218831,-0.781168,-0.000971398,-2.3547,-0.000855527,1.57482,0.796063
0.025,0.00240128,-0.780629,-0.00106571,-2.35455,-0.000938244,1.5753,0.7971,0.00220961,-0.781114,-0.000980831,-2.35469,-0.000863801,1.57487,0.796167
0.026,0.0024013,-0.780629,-0.00106569,-2.35455,-0.00093822,1.5753,0.7971,0.00222877,-0.781065,-0.000989319,-2.35467,-0.000871246,1.57491,0.79626
0.027,0.00240132,-0.780629,-0.00106567,-2.35455,-0.000938195,1.5753,0.7971,0.00224603,-0.781022,-0.000996956,-2.35466,-0.000877943,1.57495,0.796344
