t,s1,s2,s3,s1_dot,s2_dot,s3_dot
0.0,0.3085526155423152,0.0018909019315308,0.4772765718490941,0.00038666757300777246,-2.4653826484467523e-05,0.002137977929937903
0.10044,0.3085914524333481,0.0018884257011987,0.4774913103523771,0.00017527504573711106,3.637740906816539e-05,0.0010860451812284566
0.19997,0.308588048284738,0.0018980657483591,0.4774956541486926,-1.5683204784844307e-05,3.5352134915641806e-05,8.602370173882434e-05
0.300016,0.3085883416032517,0.0018954175026741,0.4775085224688448,-4.422133124570848e-06,-4.900638308793191e-05,0.00011413300386164948
0.399995,0.3085871647326618,0.0018882662654085,0.4775184855439379,-1.657879070515733e-05,-1.4084581927710157e-05,5.3790867371894535e-05
0.499785,0.3085850314903713,0.0018925821469677,0.4775192855356298,-1.5441970303120556e-05,2.6576335868194745e-05,2.9906138290236584e-06
0.60021,0.3085840805804488,0.0018935660040259,0.4775190779061807,-5.1394032500873266e-06,-2.1405602519578015e-05,-2.271912462115111e-05
0.700252,0.3085839978995827,0.0018883148856131,0.4775147468898476,5.20937381520703e-06,-3.8951511174212944e-05,-2.6262686742217767e-05
0.799757,0.3085851136302765,0.0018857788464356,0.4775138190254542,7.060539208403327e-06,2.2890059860003475e-05,-1.6608396234740752e-05
0.900007,0.3085854020675475,0.0018929596405074,0.477511418386475,-4.195557451902587e-06,1.8672547157523242e-05,-7.670073799648236e-06
0.99991,0.3085842787768505,0.0018895529008487,0.4775122725608664,-9.196767606134415e-06,-3.497895211822602e-05,4.1597567872031505e-05
1.099819,0.3085835644675839,0.0018859704155847,0.477519730476289,6.172266337811649e-06,-9.966175494062132e-06,7.63437556168256e-05
1.199947,0.308585519299864,0.0018875706498231,0.4775275448806657,4.74802768613003e-06,1.4041707282698782e-05,3.491542332900721e-05
1.29995,0.3085845183866333,0.0018887810812467,0.477526728910326,-1.3183126808868906e-05,4.802525690184023e-06,-1.8992738777701135e-05
1.399865,0.3085828843139487,0.0018885320456395,0.4775237497961331,-1.1287699639650484e-05,-9.161910375331261e-08,-1.5922671651846798e-05
1.500018,0.3085822624938724,0.0018887638953642,0.4775235499145863,3.978386317715632e-06,6.901204921555548e-06,-7.34143279501609e-07
1.59998,0.3085836765609698,0.0018899113299856,0.4775236024015719,3.6456839596077373e-06,-1.5977617704330746e-05,-6.985795831582209e-06
1.699922,0.3085829917006512,0.0018855710038178,0.477522153726461,-8.284049414220007e-06,-2.4111322135866864e-05,-1.7688059546383528e-05
1.800212,0.3085820168311486,0.0018850969398602,0.4775200584599045,-4.731959445836154e-06,-9.095853623143288e-06,-1.7694371967635902e-07
1.89993,0.3085820395802841,0.0018837567441202,0.4775220947057679,6.086204547228746e-06,3.6330275860873423e-06,2.9302818414844722e-05
1.999807,0.3085832334714966,0.0018858275075072,0.4775259099829205,3.242712309337037e-06,1.633635774004466e-05,1.6155183698352005e-05
2.099945,0.308582683618354,0.0018870219625967,0.4775253144625323,-3.2020820148748186e-06,-1.0278818091770392e-05,2.4354413050708956e-06
2.199803,0.3085825917879257,0.0018837842034865,0.4775263923738371,1.6069727910572595e-06,-2.2279124702741238e-05,4.30363438175263e-06
2.300048,0.3085830071377951,0.0018825717099704,0.4775261705990636,6.560344312234179e-07,-2.4429826616503836e-05,6.713192138629864e-06
2.399969,0.3085827253598406,0.0018789021626675,0.4775277303522647,-4.841407617917071e-06,-3.467460249441737e-05,1.0810734557331614e-05
2.500156,0.3085820372565832,0.0018756341366037,0.4775283313569993,-5.065249392588456e-06,-1.0555897423384503e-05,-1.9490880829753365e-05
2.600052,0.3085817108417594,0.0018767772848134,0.4775238453718223,4.803889986693122e-06,-5.799978307113179e-06,-1.7289899993500057e-05
2.699898,0.3085829959882352,0.0018744773612413,0.4775248750768204,1.1708249666453341e-05,-4.675129528177238e-06,2.339222014979825e-05
2.799738,0.3085840488292583,0.0018758435065901,0.4775285163137484,-2.3086118532411604e-06,1.2440496249491867e-05,-4.081661100219236e-06
2.899919,0.3085825254360571,0.00187696487267,0.4775240309549297,2.3154822702320388e-05,-4.7699367532037795e-05,-6.324615436081871e-05
3.000247,0.30858870286608,0.0018662620269286,0.4775158294553592,0.002154124640293631,-0.00012323794047785185,0.0007692585485363779
3.100057,0.3090114853455998,0.0018523173889778,0.4776771094566938,0.013031463922965836,-0.0006559666834039767,0.0060060942796758
3.199776,0.3111872577633584,0.0017354715661062,0.4787134207843467,0.04249615730248624,-0.0009787135594820553,0.014555059536773829
3.300027,0.317531501064922,0.0016568099780452,0.4805921256864858,0.07902495666401754,-0.00029063876312112463,0.015948232479353397
