t,a1,a2,a3
0.0,0.0001241702928465908,-4.6012802121088076e-05,0.00045883982251106696
0.099974,0.0001071680988504168,6.663244438568386e-05,0.0004051472824803588
0.199911,4.293534076395807e-05,0.00012614870583853654,1.5947077421476807e-05
0.299939,1.3193697133094098e-05,-0.00014861848627314886,-0.0002242130817377369
0.40016,-1.3512443573905624e-05,-0.00013434798551867399,5.4144823802835276e-05
0.499861,-5.8840925676162844e-05,0.00017544111728605698,0.00013275751518336963
0.599964,-4.1000775586977516e-05,6.48204371800758e-05,-7.208986463341527e-05
0.699819,3.232317929302779e-05,-0.00013134429950714853,-9.760126845087503e-05
0.799843,9.058391862453889e-05,-2.029434985034436e-06,2.0232752343185606e-05
0.899888,1.0057969090587386e-05,9.198039289835884e-05,0.00013679797928567487
1.000081,-6.801864268634976e-05,-5.531985223471341e-05,0.00011891100909949793
1.09991,-1.6962813883282744e-05,-0.00012705650925599432,-0.00018017195121567748
1.199824,1.844595195026422e-05,1.8810238491696563e-05,-0.00019526913233022835
1.299963,-1.59975739749066e-05,0.0001666623388004415,0.00016352961484459726
1.399921,1.0229125532147441e-06,3.513049952821761e-05,0.0001534018846905676
1.49999,4.792299916908646e-05,-7.031338774602992e-05,-7.749133758072323e-05
1.600032,-4.5388927175229366e-06,-1.8573636682075537e-06,-7.307729512292427e-05
1.699849,-1.263521027838713e-05,-4.624942524591858e-05,8.479230019917862e-05
1.800108,-4.770229113528541e-06,-0.00010299509675855534,7.68510870929938e-05
1.899969,-5.6687772358228814e-05,5.3309438547249744e-05,-0.00010635688678914618
1.999925,1.0625110837445063e-05,0.00013361298240157214,-8.845738811619773e-05
2.099824,5.322592580444884e-05,-1.6540614122747702e-05,5.20449669909145e-05
2.199864,6.554312136538512e-06,-5.3414120771265656e-05,6.522636577274025e-05
2.299824,2.1125999675637495e-05,-5.860210271044789e-05,-7.745272926524768e-05
2.399985,2.0346473232824887e-05,2.775583457645585e-05,-6.746188136360532e-05
2.500039,-4.436432198066378e-05,7.575785571045608e-05,8.933392475505292e-05
2.6,-5.456140467805849e-05,-6.984493498659202e-05,-8.377596683187686e-05
2.700012,7.91104842823888e-06,-4.198179751893954e-05,-0.0001129574984891289
2.799924,3.69566753541831e-05,8.980896463526991e-05,0.00022000085584354304
2.900153,3.4815264540329886e-05,7.636480248603496e-05,0.00020963668313292032
3.000067,-1.1546377067690742e-05,-6.930042634976845e-05,-0.00010567295854536225
3.099872,-5.563916771552429e-05,-0.00010290142703528322,-0.00022166050897360232
3.199941,-3.949245942707353e-06,6.173702889277147e-05,2.7434114691845294e-05
3.299886,1.0817986705841387e-05,8.363580775748908e-05,0.00011365531043581277
3.39994,-2.3054102025208553e-05,-8.963985633521064e-05,-6.612129989182658e-05
3.499921,1.3044708673144551e-05,-7.252535770437961e-05,-0.000103635587139493
3.600034,5.28491175341977e-05,0.00011652970597969238,7.22165189720938e-05
3.699971,1.5613934337077804e-05,5.714701884640638e-05,0.00018302693121300393
3.799922,-2.0500716212926897e-05,-9.756413288218811e-05,7.245712971307999e-06
3.899991,2.8084332370087654e-06,2.4479745990579575e-05,-0.0001552579684443362
